,X,y
45,"@shannonrwatts Yep, BUT THEIR GUNS, god forbid we violate their 2nd Amendment rights. These Republicans are shameful and to blame!!! The HATE they spew, the outright REFUSAL to Gun Reform or banning of Assault Weapons. They are shameful all in the name of POWER &amp; MONEY!!!!",1
46,Of all the fucking dumb pro gun arguments the “Me and the Trailer Park Boys need to make sure we’re fully armed in case we have to take down the mightiest Military in the world by a country mile” is the dumbest fucking one. SMH https://t.co/ZjSI7WvYsn,1
47,@Victorshi2020 No.  This causes inflation to rise.  Who's going to pay?  Will the government print more money?  Good grief man.,1
48,@GregAbbott_TX That would add one more screw up to this saga. https://t.co/T3roTvCvwT,1
49,"@lavern_spicer @KariLake If those 3 counties have their votes left out of the final state certification, Katie Hobb's lead in the final tally will INCREASE by almost 100k votes.  

So tell me again how this is good for Kari Lake? 

🤡🤡",1
50,"Another shooting, @RepMTG . I guess Biden should ignore this one in favor of your second amendment rights.",1
51,"@AbbottCampaign @GregAbbott_TX @TXMilitary @TxDPS Another political stunt, brought to you by the worst governor in the United States!!!",1
52,"Inflation will go back up (don't believe them when they say it went ""down"" -  it just didn't go up by as much). 

How do I know this? Simple. NONE - ZERO, ZIP, ZILCH, NADA - of the $740 billion ""Inflation Reduction Act"" spending starts until 2023.",1
53,@lvhothead2483 @KariLakeWarRoom @dbongino Projected… by media,1
54,REPORT: Convenience store chain drops gas prices during Thanksgiving week to $1.99 a gallon https://t.co/mPcOXlsqCV via @realdennislynch,1
55,@GOPLeader @MayraFlores2022 I hope you are right. When and if this occurs I will cheer but I will have to see it to believe it.,1
56,"May we grieve with all the families who will have empty seats at their thanksgiving tables left by loved ones who were victims of gun violence.

May we grieve and work to dismantle all that has allowed gun violence to become just as American as thanksgiving itself.",1
57,@adgirlMM What happened to fighting inflation? I'm so sick and tired of Republicans.,1
58,What if he's indicted in 6 months. Is the rule of law still meaningless.! I mean why 3 months.? I want him bagged for Jan. 6th even more than the documents. https://t.co/ffQvlMNAph,1
59,@GregAbbott_TX Big deal. Thanksgiving happens only one time per year. What are you doing for them the other 364 days?,1
60,@GregAbbott_TX Securing the border should have been done along time ago. Seems a bit late!,1
61,@ColonelMark4 @PoliticsVerse Come out the bubble. CRIME INFLATION AND BORDER CONTROL is what they planned to FIX. Hunter is A REGULAR CITIZEN. He shoukd start sueing them all. Those shootings are listed UNDER CRIME.,1
62,"@WhiteHouse Biden &amp; Admin “Green Deal”Renewable Energy caused High Inflation. Campaign Promises Backfired. Production &amp; transport of food &amp; products are based on Fossil Fuels. The Fed keeps raising interest rates, hasn’t helped &amp; won’t. A Recession is coming.",1
63,"@RepMTG Hey, where’s Republicans’ plan for inflation?",1
64,"AZ to investigate ballots, delay certifying, Kari Lake to WIN?;Veritas b... https://t.co/EkhMKyCgbr via @YouTube",1
65,@katiehobbs Our election is not decided. How dare you call yourself gov. Elect!,1
66,"@Jim_Jordan While you and your ilk waste money on phony, made up investigations.  Where’s your plan to control inflation, bring gas prices down, improve healthcare, et cetera?",1
67,"@NoDemLeftBehind America is besotted with guns and the casual right to own one (as a result of a skewed interpretation of the 2nd amendment.)

Mass shootings are a direct result of that.  They will continue to occur.

Wringing of hands, and thoughts and prayers are sickeningly pitiful.",1
68,"@ZaleskiLuke This American citizen who is a traitor &amp; seditionist took Russian crime money twice &amp; got busted twice for less than $100k each time; he was top assistant to Rand Paul &amp; Mitch McConnell, two Kentucky senators. Total failure of law enforcement to stop it before it happened, twice.",1
69,"#SCOTUS' #Bruen #GunRights (#2A) decision:

“The constitutional right to bear arms in public for self-defense is not a second-class right, subject to an entirely different body of rules than the other Bill of Rights guarantees.”

#MolonLabe #ShallNotBeInfringed https://t.co/8dmyyp7Tsw",1
70,"@Alex_Kack @katiehobbs Jumping the gun, aren’t ya? She’s already the countries embarrassment as Secretary of State in how she ran the election…. Precursor to how she’ll run the state 🤦‍♀️",1
71,"Some Americans think they’ll win the lottery and yet they don’t think they’ll be a victim of gun violence. 

Do the math.",1
72,@KariLakeWarRoom No doubt about it,1
73,@POTUS @SecCardona Worthless pos,1
74,"@Strandjunker I'd love it, we can dumb down college requirements for us and I'd get affirmative action?

Sign me the fuck up!",1
75,"@PierrePoilievre Sadly because the liberal elite don’t have to worry about the inflation crisis. I can’t afford 8 dollar lettuce. It’s actually scary, how does this end",1
76,"@FBPolitic @JohnT15 @JoJoFromJerz So you admit the US military except for the Navy are seeded in the constitution and should be disbanded, cool.  I agree, now lets let the American people own whatever they want, form militias to defend state and country. Keep feds out and let states run their defense.",1
77,What a disgrace 😡 https://t.co/uncmxRBLyh,1
78,@RAIL Unfortunately working people or cost of living are not on their agenda.,1
79,"@TriTexan @MississippiMen2 @JDCocchiarella Go and change it then, why don't you start with the 1st amendment and then just goose step your way down to the 10th comrade?",1
80,"@ReverendWarnock Failure at the Border: 5.5 Million Illegal Immigrants Have Crossed Into the U.S. on Biden's Watch
https://t.co/jg2B5oGjNv",1
81,@GregAbbott_TX @judyannaggie Please,1
82,@KariLake Lies lies lies,1
83,"@natsechobbyist This is the kinda thing that will eventually get the second amendment repealed. Gun rights advocates need to start thinking logically. The greatest enemy to gun rights isn't Pelosi, it's Boebert.",1
84,@fallfan1 @JoJoFromJerz Omg inflation is every where take a look around the world.,1
85,@TucsonRomero @katiehobbs Why is there  like 40 people there. She did not win. No way in hell,1
86,"Bill Barr had a real opportunity to clean up the DOJ and FBI and restore faith in these rotten institutions. Instead, he protected them and empowered the surveillance state. Donald Trump could not do more harm than he did, himself. https://t.co/r6hvl7r8m6",1
87,Report: Biden Is Cutting Medicare Benefits Thru Inflation Reduction Act https://t.co/qWArcOP3ST,1
88,"@RobertRothman1 @IHepya @KariLakeWarRoom Listened to the lawyer on War Room, the complaint is stunning and will expose the steal",1
89,"So it's only pro 2nd amendment when it benefits you, but the moment those you love to oppress exercise it, suddenly they are ""antifa"" and ""criminals"".

Make it made sense. https://t.co/w3520Uc21H",1
90,Rob is mentally ill. https://t.co/nWQx6ZEW3o,1
91,@JohnaBlock1 @KariLake So you believe 81 million voters will change their mind about Trump? Hard to believe. I haven't changed my view of the man who continues to lie about most everything including that he actually won in 20'  I wouldn't hold your breath waiting.,1
92,US corporations gave more than $8m to election deniers’ midterm campaigns #soyouknow https://t.co/u4BesfyDsi,1
93,"@UniverseOfGood @katiehobbs Oh cry me a F**KING river, when all said and done, Hobbs will be governor!!!🤔",1
94,@GregAbbott_TX Whoaaaaaa. We actually agree on something?!? Best in the world.,1
95,"@RealMarkFinchem You and @KariLake are EVIL!!!

Please Do The Right Thing ether concede defeat or otherwise you will get arrested for Failure to concede defeat even for Voter Fraud and even In The Participation of The #January6ThInsurrection! 

And that will go for you too Kari Lake!

@FBI",1
96,I believe that it was @TheBabylonBee or @Not_the_Bee that said that instead of a red wave there was a “purple puddle.” And also that @JohnFetterman achieved his lifelong dream of staying at home with mother and then landing a cushy government job.,1
97,@ottercove6 @RepMTG Getting off of foreign oil is bad?  You like high gas prices?,1
98,@JohnMck90042761 @seanhannity Well it ain't going where u think ! 48 b to Dems in midterms from that aid that's your tax dollars buying Americans votes,1
99,@Brianc0434 @MarkWarner Virgina is a republican STATE with no LAW AND ORDER….. republicans are weak and soft on crime cocksucker,1
100,@meegbear @MayraFlores2022 I bet the man from the picture below thanks jesus for his food too.,1
101,"@CNBC Student loan debt is Class Warfare! 
The fact that education is being denied through inflated cost &amp; indentured servitude is POLICY!
@POTUS @SecCardona must return College education to a common good model Pass #College4All &amp; #CancelStudentDebt for all!

https://t.co/XyQF3hfQNN",1
102,@KariLakeWarRoom @tylerbowyer NO! Not recount. We the people want a Re-vote.,1
103,"@eddsmitty @GOP It was obvious where gun violence was headed, due to 2 factors.

Trump and his subtle and not so subtle remarks of aggression. Citizens and police alike, heard his message.

States making laws no longer requiring permits to carry.

America was built on killing being the solution.",1
104,"@For3JT Government in the U.S. is all about checks and balances. Legislative, executive and Judicial all check and balance each other, the 2nd amendment is one of the checks and balances that the people have to keep the government in line.",1
105,And the beat goes on. https://t.co/ecBY0lTQqi,1
106,@CHREME5 @RationalEye @abughazalehkat Because decent people don't tie their whole identity to guns and a second amendment that was written hundreds of years ago,1
107,1 out of 4 Americans can't afford a Turkey for Thanksgiving while the BIDEN CRIME FAMILY will be stuffing their faces for THANKSGIVING.. in NANTUCKET. Elections have consequences.,1
108,"This young ladies bosses tells her what to say, they most probably get a very large wage, but they don’t get that the planet is dying if we don’t stop there will be no more planet there would be no more food no more trains no more cars no more planes no MORE PEOPLE, NOTHING. https://t.co/bJwPzL3X3L",1
109,&gt;@seatownstaydown @FactsAreGood @barbariantrade &gt;@FactsB4Politics @GThonks @SophiaRita6 @AngryFleas @PogueMoran @JonRFleming @CalmDownAMinute @squirrely_girlz @EyeH8Trump @CPT_Cosmosis @StanPennington8 @JOHNWHITTY19 @MairScott3 THREAD&gt;https://t.co/WmHMBXfnll https://t.co/0pIxi00xQr,1
110,CBS needs to admit that they are an agent of mis/disinformation. They failed as a reliable source of news and the people of America need to remember that @CBS is in part responsible for the harm done them by the #Bidenflation resulting for the suppression of facts. https://t.co/D21Ot8EnTP,1
111,@lazlototh67 @WesternMigrant1 @NoLieWithBTC They refuse to say what if anything they will do about inflation....,1
112,@FoxNews @KidRock How you like the tsunami and Dr Oz and Ophra?,1
113,"Affirmative Action EXPLAINED In A Bake Sale 
Asians: $1.50
White: $1.00
Black: $.50 

https://t.co/DlqFYtXu0O via @YouTube",1
114,"@SFM_2022 @mmpadellan @DiablitosMusica Just curious, which well-regulated militia was the shooter from?",1
115,@KariLakeWarRoom @KariLake Good for you and God bless you Kari,1
116,"@joncoopertweets Go Kari Lake!  Legal action will go nowhere, just virtue signaling.",1
117,@Victorshi2020 Only in America would there be 2 mass shootings days apart from each other. only in America would elected officials from a major political party will lie about the criminal that committed the crime to fit their narrative of hatred toward those who don’t comply to their ideology. https://t.co/QUQhAXo5B6,1
118,@GregAbbott_TX Why? there are only about 12 employees left.,1
119,Its called.govt stop sending money to other countries https://t.co/hnWe7lQJDE,1
120,@keepitzambi @theblaze Whenever there is a first for the woke crowd they plaster it everywhere. In 2020 there was a Hispanic lesbian running for Governor of Texas and the left wing news orgs posted that instead of her name. Don’t complain when it’s used when they do something negative.,1
121,"@KariLakeWarRoom ""Trump-endorsed candidates""?  You don't think that's the answer for why they lost?",1
122,@WMTWTV Just the cost of living in a blue voting state 💙,1
123,I misread those who would be a better Pa 2024 senator  IMO...Kathy Barnett. https://t.co/DMYar1O3W7,1
124,Is this not a First Amendment violation? Public university blocking emails for 'political' content? https://t.co/ujCsbskkSo,1
125,"@JoJoFromJerz It does seem that in today's America the old saying has been reversed, and that my freedom to have a nose ends where your freedom to swing your fisted arm begins. Perhaps what Justice Jackson meant to say was that the Constitution IS a suicide pact?",1
126,@usedgov Funny how they want to block this but will send money without question to other countries or bail out businesses. This is insane.,1
127,"@For3JT @UtahSnyder Yikes JT, you’re really going to go down this path and question lifetime US citizens about our right to bear arms, like we’re criminal if we own a gun?!  Not your best post…",1
128,"@JDCocchiarella Majority in democrat controlled cities by Gen Z and black on black gang violence.
The problem is democrat soft on crime policies...",1
129,@KariLakeWarRoom @KariLake How bout postkng from an actual new source?,1
130,@TalonyaAdams @katiehobbs @KariLake You mean less than 1 lol those degrees didn't involve a lot of math instruction.,1
131,@RepLeeZeldin @elonmusk You should learn about the 1st amendment https://t.co/NCLjdjAtes,1
132,"Getting close... 
https://t.co/0kh5e5THBH",1
133,@Footballsocks1 @davidhogg111 No one’s ready for that conversation though. Knife crime would sky rocket over night if all guns magically disintegrated. America is center to the worst mental health crisis probably ever seen by humans.,1
134,"@ZaleskiLuke What if,WHAT IF,nO what if, from Russian Female gun Lobbyist who dated more rEPUBLICAN senators &amp; representatives than a Nevada Mustang Ranch Hooker, to Oligarchs visiting the White House CRIME SYNDICATE during Orange Fat Ass and wONDERFUL's presidency, Paul Manfort cash handouts",1
135,We are all being held hostage by the insane gun lobby and politicians who will do nothing. Money matters more to them than our safety. https://t.co/scDeuaLf5a,1
136,@paulmarvin @channingms1 @JennaEllisEsq @KariLake @TweetTonyMac He is a RHINO along with the maricopa “republican” board of supervisors.,1
137,"Neither Facebook nor Twitter filed a brief supporting 303 Creative at SCOTUS ""and its not hard to guess why."" But the decision will implicate their own arguments - demonstrating that our First Amendment rights are bound together. A win for any 1A claimant expands the 1A for all.",1
138,"How are American households keeping the lights on during the holidays? According to the US Energy Information Administration, renewable energy sources (wind, hydroelectric, solar, biomass, and geothermal) contributed 20% of US electricity in 2021.

https://t.co/HkBfyoMmDv https://t.co/RXlnTbsrSF",1
139,@teddZINN @DeniseEngle7 @TaryntheR @CalltoActivism @joncoopertweets @GloriaP17279897 So what is your solution for the border. For inflation for crime. What's your solution my man. The Democrats are ruining our country and you know this that's the plan. You're a clown man. A democratic clown https://t.co/K71YtpZXcH,1
140,@Alex_Kack @katiehobbs Democrats are the definition of embarrassing,1
141,@Rach_IC @KariLakeWarRoom Same girl?  https://t.co/wAUn45U2od,1
142,"@davramdavram The Democrats have multi-tasked, what with the one-sided Jan 6th commission while creating record inflation and increased crime.

Pretty sure Republicans can put a halt to the Democrat policies that put us in this mess while asking Fauci about his involvement with Covid.",1
143,@LordGiverOfLife @kayleighmcenany Sweden Japan China Taiwan are not experiencing inflation just to name a few European nations are experiencing inflation because of sanctions with Russia American inflation is caused by Joe Biden,1
144,"@GOP Keep it up. Lying and deceit is what put your party in the position they're in after the midterms. The more you continue with outright propaganda, the more you're going to lose. Prices are up all over the world. Democrats didn't cause global inflation. Nice try.",1
145,@BigB82984795 @XiomaraCanti @JessicaBanner13 @POTUS @SecCardona You’ve been conditioned to think selfishly.,1
146,@ennui365 Where is god during the mass 2nd amendment enabled shootings of school children in the USA?,1
147,@SenBillCassidy @SenateGOP WHY DID REPUBLICANS VOTE AGAINST THE INFLATION REDUCTION ACT,1
148,@_franciscoweld @PhineasGregg @GregAbbott_TX Could've fooled us,1
149,Scientific facts rarely appear at climate change conferences - American Thinker https://t.co/KbFZAmBL4e,1
150,"@WhiteHouse And while you are at it, you are taking money from the poor and increasing taxes and inflation on all Americans.  The Earth is not dying.",1
151,@NewsNation No no matt. That pefo child flavored ice cream licking potato head said economy strong as hell. What inflation? We need to focus on other issues. If it ain't broke don't fix it!! 😅,1
152,@lavern_spicer @KariLake Get over it Lake lost fair and square,1
153,"@maxpower2271 @TheDailyShow @BarackObama HRC is in no way comparable to either Kari Lake or Trump who STILL cry fraud, STILL cry stolen... when they weren't.",1
154,Should the New Republican House Investigate Hunter Biden or How to Combat Gun Violence?,1
155,@GOPLeader @MayraFlores2022 Yeah?   We’ll see.,1
156,@Tohumphries @PGroenhuysen @toryboypierce @RMTunion So are you saying a pay rise in line with inflation is ok?,1
157,"@charliekirk11 @KariLake Stop crying and being a sore loser, sit down and stfu.",1
158,@TPostMillennial @PressSec affirmative action hire you’re a condescending 🐩,1
159,"The Constitution of the United States Audiobook https://t.co/nMQFXKe6nf via @YouTube 
DOES NOT INCLUDE TRANSGENDERS -WOKE.",1
160,@funder @Liz_Cheney poor Scott.. ya Ain't got a clue.. liz Cheney is done.. fried.. over.. move on... here comes a real woman... Kari Lake..,1
161,@AaronWo62591828 @RepMTG Screw inflation we need schools and hospitals and more general infrastructure If leftists are gonna let millions of illegals in.,1
162,"@GregAbbott_TX A+ for effort, but thanksgiving is on the 24th. Or was giving up your time on thanksgiving day too inconvenient for you? You’ll get the hang of this whole Governor thing. It’s only been 7 years.",1
163,@charliekirk11 @KariLake Kari lake should have won!! I don’t believe Hobbs is the winner!! Az is a red state!,1
164,"@PaultheAtheist @ChristinaCozad1 @BidensWins His(obama's &amp; soros)  policies are a direct cause of inflation. Reinstated Obama era small &amp; medium business restrictions, keystone pipeline, oil drilling( one of their biggest campaign statements), extending federal aid to keep people at home( instead of working) &amp; much more",1
165,@thestevenwoods $60 for a cabin air filter? Fuck inflation.,1
166,@ATLBravesfan199 @lavern_spicer @KariLake That’s your comeback ? Weak as hell.,1
167,"@dakoda84 @zerba_pagella @ObiankoOsaroWx @trippiieerrr @cnnbrk ""Let's do absolutely nothing about this issue because it will not literally solve every crime with guns in the country"" Is the answer americans always end up with... 

Let's allow shoplifting because not every person will stop shoplifting when we try to do something about it!",1
168,@mattgray05 @theSNP @NicolaSturgeon You do know it’s the Tories that causes the cost of living crisis don’t you? 🙄🙄,1
169,"""...yet another instance of how gun violence erupts in American life in places traditionally seen as safe...""

Wrong, @CNN, no rational person views any place as safe from gun violence in the USA. #GunReformNow

CNN: At least 6 people killed in a shooting
https://t.co/wNRexZZADr",1
170,"@amandasexygirl1 @blankchi2 @yvonnewingett @katiehobbs Yes, the military is to uphold the constitution and protect our country from abroad and within. If they have proof of crimes against humanity, treason etc, yes the military can step in and run the country and hold tribunals against a threat . Then hold new elections after 190 day",1
171,"@lynds_summers Student loan debt is Class Warfare! 
The fact that education is being denied through inflated cost &amp; indentured servitude is POLICY!
@POTUS @SecCardona must return College education to a common good model Pass #College4All &amp; #CancelStudentDebt for all!

https://t.co/XyQF3hfQNN",1
172,@mixeDonnie @MelMMorgan1 @POTUS @SecCardona nope,1
173,"@POTUS @PressSec @SecCardona No fool, it’s on hold because it’s illegal",1
174,Seriously….Inflation at an all time high…gas prices sky rocketing….families struggling to get bills and food paid. And y’all wanna just piss it away for a war that’s not even ours? WTF @POTUS https://t.co/ZPIEVD56uX,1
175,Hyundai’s Best Years in the U.S. Test Under Biden’s Inflation Reduction Act https://t.co/McwQrB0O6a,1
176,"Maga Moron Biggs . And Dr, Fauci just give them the same as they do Ignore them !! https://t.co/zMZpLYteGd",1
177,"@Tracie2329 @re4joe @DMcDMuffin @LuzMyBike @keith0sta @BabeICU @Belinda1177 @MAGAGAL58 @WhalenMona @Pixie572 @TrumpsHurricane @stiletoprincess @SexyREDpatriot @moorela66180327 @catahouligan_ @Boomr1223 @Traces_Place @what_shelly @Robinhas5 @OGJavaB1 @LandP1776 Cause of #unsustainable #illegal #immigration #migrants is lack of ""internal enforcement"", not #border #wall. As long as illegals know they will never be #deported, they will keep coming. #Trump never understood that and failed. And Trump never improves or learns from mistakes.",1
178,@POTUS @SecCardona were is my student debt you set up a system to give free tax payers dollars but you only give it to a hand full if you gave every American 599 dollars because it is our money than they can still have their student debt and we can all buy turkeys this year and even fill gas tanks,1
179,@deeztweetz69 @DallasTexasTV @GregAbbott_TX You’re mad at a governor!?,1
180,I agree.  I can’t wait until the Hunter Biden laptop hearings begin! https://t.co/vTBkE2cu6C,1
181,"@USProgressives @RepJayapal @POTUS Do not forget Biden, as Senator, voted to strip the Constitutional Right of Bankruptcy from borrowers of student loans.",1
182,Hey Doug Ford………this is how it’s done https://t.co/xObDigj08s,1
183,"@KariLake LOL
how much did you pay her Lake ? https://t.co/kaoPFpNLGE",1
184,"@JonSmyt82761929 @NateGearySports The great thing about freedom is you can choose to practice your 2nd amendment rights or not, isn't it great?",1
185,@MayraFlores2022 Then get out of politics.,1
186,"@RichardHanania @elonmusk That’s a sad, desperate measure of whether or not a business is thriving. Musk, you must implement affirmative action immediately! Snowflakes are melting!🤣",1
187,@AmericanRepubl5 @Dakota983910 @NachoKitty00 @akafacehots @realDonaldTrump The president has nothing to do with gas prices smooth brain.,1
188,"@vancemurphy @RepJayapal It's already in America, blue states",1
189,@KariLake Go away,1
190,"@ProudElephantUS Biden &amp; Admin “Green Deal”Renewable Energy caused High Inflation. Campaign Promises Backfired. Production &amp; transport of food &amp; products are based on Fossil Fuels. The Fed keeps raising interest rates, hasn’t helped &amp; won’t. A Recession is coming.",1
191,"@FinchwoodMedia @BonifaceOption The we is our flesh and blood relatives.  Our progeny.  The ""our posterity"" stated in the Preamble.  America is still becoming less Christian despite mass immigration, not because of it.",1
192,@POTUS @SecCardona Most people think you’re wrong—including Nancy Pelosi.,1
193,"@KariLakeWarRoom @realDonaldTrump @KariLake Pima County reported 65,000 more votes were cast in a democrat stronghold than there are registered  voters.  Hobbs can not be allowed to certify herself the winner.",1
194,"@WHCOS @POTUS Gas is up 2x from when Biden took office - regardless how much it “came down” since, thanks to depleting emergency reserves for political gain.

Inflation Reduction Act did nothing.",1
195,@KariLakeWarRoom @Rach_IC Same girl?  https://t.co/wAUn45U2od,1
196,@GaRepublicans If you let your 401k ride it will be all back…inflation worldwide. And giving one senator that power is really unrealistic…but then you are the party of grifters..,1
197,"@RepMarkGreen @GOPLeader @HouseGOP Have you proposed a new immigration bill, or is it just talk to rile up the base? When will you crack down on the employers who hire undocumented workers? https://t.co/YZgnUchW3A",1
198,@dennisrampley @DonaldJTrumpJr Ha ha breaking news!!! smh. How long have they had this laptop? A long time. What did trump and his politicized DOJ do about it? Yeah!! MAGA!!,1
199,Greg Abbott Mobilizes Texas National Guard To Protect The Southern Border https://t.co/ZQI7DGqeWI via @gatewaypundit,1
